export txt|source markdown|section block|can sync|note
exports/audio-text/books/english/english-g1/pages/page-006.txt|docs/learning-book/english/g1/drafts/letters_upper.md|## 6. בואו נבדוק יחד (topicId=letters_upper, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g1/pages/page-013.txt|docs/learning-book/english/g1/drafts/letters_lower.md|## 6. בואו נבדוק יחד (topicId=letters_lower, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g1/pages/page-020.txt|docs/learning-book/english/g1/drafts/letters_match.md|## 6. בואו נבדוק יחד (topicId=letters_match, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g1/pages/page-034.txt|docs/learning-book/english/g1/drafts/phonics_sounds.md|## 6. בואו נבדוק יחד (topicId=phonics_sounds, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g1/pages/page-041.txt|docs/learning-book/english/g1/drafts/phonics_first_sound.md|## 6. בואו נבדוק יחד (topicId=phonics_first_sound, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g1/pages/page-048.txt|docs/learning-book/english/g1/drafts/classroom_words.md|## 6. בואו נבדוק יחד (topicId=classroom_words, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g1/pages/page-055.txt|docs/learning-book/english/g1/drafts/first_words_simple.md|## 6. בואו נבדוק יחד (topicId=first_words_simple, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g1/pages/page-062.txt|docs/learning-book/english/g1/drafts/first_words_cvc.md|## 6. בואו נבדוק יחד (topicId=first_words_cvc, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g1/pages/page-069.txt|docs/learning-book/english/g1/drafts/picture_word_match.md|## 6. בואו נבדוק יחד (topicId=picture_word_match, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g1/pages/page-074.txt|docs/learning-book/english/g1/drafts/listening_classroom.md|## 4. בואו נפתור (topicId=listening_classroom, section 4/7, UI title: בואו נפתור)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2
exports/audio-text/books/english/english-g1/pages/page-076.txt|docs/learning-book/english/g1/drafts/listening_classroom.md|## 6. בואו נבדוק יחד (topicId=listening_classroom, section 6/7, UI title: בואו נבדוק יחד)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2, PASS14
exports/audio-text/books/english/english-g1/pages/page-083.txt|docs/learning-book/english/g1/drafts/listening_commands.md|## 6. בואו נבדוק יחד (topicId=listening_commands, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g1/pages/page-090.txt|docs/learning-book/english/g1/drafts/vocab_colors.md|## 6. בואו נבדוק יחד (topicId=vocab_colors, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g1/pages/page-094.txt|docs/learning-book/english/g1/drafts/vocab_numbers.md|## 3. דוגמה (topicId=vocab_numbers, section 3/7, UI title: דוגמה)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2
exports/audio-text/books/english/english-g1/pages/page-097.txt|docs/learning-book/english/g1/drafts/vocab_numbers.md|## 6. בואו נבדוק יחד (topicId=vocab_numbers, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g1/pages/page-101.txt|docs/learning-book/english/g1/drafts/vocab_family.md|## 3. דוגמה (topicId=vocab_family, section 3/7, UI title: דוגמה)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2
exports/audio-text/books/english/english-g1/pages/page-104.txt|docs/learning-book/english/g1/drafts/vocab_family.md|## 6. בואו נבדוק יחד (topicId=vocab_family, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g1/pages/page-108.txt|docs/learning-book/english/g1/drafts/vocab_animals.md|## 3. דוגמה (topicId=vocab_animals, section 3/7, UI title: דוגמה)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2
exports/audio-text/books/english/english-g1/pages/page-111.txt|docs/learning-book/english/g1/drafts/vocab_animals.md|## 6. בואו נבדוק יחד (topicId=vocab_animals, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g1/pages/page-115.txt|docs/learning-book/english/g1/drafts/vocab_emotions.md|## 3. דוגמה (topicId=vocab_emotions, section 3/7, UI title: דוגמה)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2
exports/audio-text/books/english/english-g1/pages/page-118.txt|docs/learning-book/english/g1/drafts/vocab_emotions.md|## 6. בואו נבדוק יחד (topicId=vocab_emotions, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g1/pages/page-122.txt|docs/learning-book/english/g1/drafts/vocab_actions.md|## 3. דוגמה (topicId=vocab_actions, section 3/7, UI title: דוגמה)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2
exports/audio-text/books/english/english-g1/pages/page-125.txt|docs/learning-book/english/g1/drafts/vocab_actions.md|## 6. בואו נבדוק יחד (topicId=vocab_actions, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g1/pages/page-129.txt|docs/learning-book/english/g1/drafts/vocab_school.md|## 3. דוגמה (topicId=vocab_school, section 3/7, UI title: דוגמה)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2
exports/audio-text/books/english/english-g1/pages/page-132.txt|docs/learning-book/english/g1/drafts/vocab_school.md|## 6. בואו נבדוק יחד (topicId=vocab_school, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g1/pages/page-135.txt|docs/learning-book/english/g1/drafts/grammar_be.md|## 2. הסבר (topicId=grammar_be, section 2/7, UI title: הסבר)|partial|החלפת עמוד מלא ב-export — צריך לעדכן body של section במקור, לא להדביק txt; passes: PASS12
exports/audio-text/books/english/english-g1/pages/page-139.txt|docs/learning-book/english/g1/drafts/grammar_be.md|## 6. בואו נבדוק יחד (topicId=grammar_be, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g1/pages/page-146.txt|docs/learning-book/english/g1/drafts/sentence_base.md|## 6. בואו נבדוק יחד (topicId=sentence_base, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g1/pages/page-153.txt|docs/learning-book/english/g1/drafts/translation_classroom.md|## 6. בואו נבדוק יחד (topicId=translation_classroom, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g2/pages/page-006.txt|docs/learning-book/english/g2/drafts/letters_review.md|## 6. בואו נבדוק יחד (topicId=letters_review, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g2/pages/page-011.txt|docs/learning-book/english/g2/drafts/letters_order.md|## 4. בואו נפתור (topicId=letters_order, section 4/7, UI title: בואו נפתור)|partial|החלפת עמוד מלא ב-export — צריך לעדכן body של section במקור, לא להדביק txt; passes: PASS12
exports/audio-text/books/english/english-g2/pages/page-013.txt|docs/learning-book/english/g2/drafts/letters_order.md|## 6. בואו נבדוק יחד (topicId=letters_order, section 6/7, UI title: בואו נבדוק יחד)|partial|החלפת עמוד מלא ב-export — צריך לעדכן body של section במקור, לא להדביק txt; passes: PASS12, PASS14
exports/audio-text/books/english/english-g2/pages/page-020.txt|docs/learning-book/english/g2/drafts/phonics_sounds_review.md|## 6. בואו נבדוק יחד (topicId=phonics_sounds_review, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g2/pages/page-027.txt|docs/learning-book/english/g2/drafts/phonics_blending.md|## 6. בואו נבדוק יחד (topicId=phonics_blending, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g2/pages/page-034.txt|docs/learning-book/english/g2/drafts/sound_letter_match.md|## 6. בואו נבדוק יחד (topicId=sound_letter_match, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g2/pages/page-039.txt|docs/learning-book/english/g2/drafts/first_word_reading.md|## 4. בואו נפתור (topicId=first_word_reading, section 4/7, UI title: בואו נפתור)|partial|החלפת עמוד מלא ב-export — צריך לעדכן body של section במקור, לא להדביק txt; passes: PASS12
exports/audio-text/books/english/english-g2/pages/page-041.txt|docs/learning-book/english/g2/drafts/first_word_reading.md|## 6. בואו נבדוק יחד (topicId=first_word_reading, section 6/7, UI title: בואו נבדוק יחד)|partial|החלפת עמוד מלא ב-export — צריך לעדכן body של section במקור, לא להדביק txt; passes: PASS12, PASS14
exports/audio-text/books/english/english-g2/pages/page-042.txt|docs/learning-book/english/g2/drafts/first_word_reading.md|## 7. בואו נתרגל! (topicId=first_word_reading, section 7/7, UI title: בואו נתרגל)|partial|החלפת עמוד מלא ב-export — צריך לעדכן body של section במקור, לא להדביק txt; passes: PASS12
exports/audio-text/books/english/english-g2/pages/page-048.txt|docs/learning-book/english/g2/drafts/word_families_cvc.md|## 6. בואו נבדוק יחד (topicId=word_families_cvc, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g2/pages/page-051.txt|docs/learning-book/english/g2/drafts/classroom_vocab_g2.md|## 2. הסבר (topicId=classroom_vocab_g2, section 2/7, UI title: הסבר)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS13
exports/audio-text/books/english/english-g2/pages/page-055.txt|docs/learning-book/english/g2/drafts/classroom_vocab_g2.md|## 6. בואו נבדוק יחד (topicId=classroom_vocab_g2, section 6/7, UI title: בואו נבדוק יחד)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2, PASS14
exports/audio-text/books/english/english-g2/pages/page-058.txt|docs/learning-book/english/g2/drafts/listening_comprehension.md|## 2. הסבר (topicId=listening_comprehension, section 2/7, UI title: הסבר)|yes|החלפת חץ → — קיים ב-body; passes: PASS11
exports/audio-text/books/english/english-g2/pages/page-062.txt|docs/learning-book/english/g2/drafts/listening_comprehension.md|## 6. בואו נבדוק יחד (topicId=listening_comprehension, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g2/pages/page-066.txt|docs/learning-book/english/g2/drafts/picture_audio_word_match.md|## 3. דוגמה (topicId=picture_audio_word_match, section 3/7, UI title: דוגמה)|partial|החלפת עמוד מלא ב-export — צריך לעדכן body של section במקור, לא להדביק txt; passes: PASS12
exports/audio-text/books/english/english-g2/pages/page-067.txt|docs/learning-book/english/g2/drafts/picture_audio_word_match.md|## 4. בואו נפתור (topicId=picture_audio_word_match, section 4/7, UI title: בואו נפתור)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2
exports/audio-text/books/english/english-g2/pages/page-069.txt|docs/learning-book/english/g2/drafts/picture_audio_word_match.md|## 6. בואו נבדוק יחד (topicId=picture_audio_word_match, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g2/pages/page-072.txt|docs/learning-book/english/g2/drafts/early_sentences_exposure.md|## 2. הסבר (topicId=early_sentences_exposure, section 2/7, UI title: הסבר)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS13
exports/audio-text/books/english/english-g2/pages/page-074.txt|docs/learning-book/english/g2/drafts/early_sentences_exposure.md|## 4. בואו נפתור (topicId=early_sentences_exposure, section 4/7, UI title: בואו נפתור)|partial|החלפת עמוד מלא ב-export — צריך לעדכן body של section במקור, לא להדביק txt; passes: PASS12
exports/audio-text/books/english/english-g2/pages/page-076.txt|docs/learning-book/english/g2/drafts/early_sentences_exposure.md|## 6. בואו נבדוק יחד (topicId=early_sentences_exposure, section 6/7, UI title: בואו נבדוק יחד)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2, PASS14
exports/audio-text/books/english/english-g2/pages/page-083.txt|docs/learning-book/english/g2/drafts/vocab_colors.md|## 6. בואו נבדוק יחד (topicId=vocab_colors, section 6/7, UI title: בואו נבדוק יחד)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2, PASS14
exports/audio-text/books/english/english-g2/pages/page-087.txt|docs/learning-book/english/g2/drafts/vocab_numbers.md|## 3. דוגמה (topicId=vocab_numbers, section 3/7, UI title: דוגמה)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2
exports/audio-text/books/english/english-g2/pages/page-090.txt|docs/learning-book/english/g2/drafts/vocab_numbers.md|## 6. בואו נבדוק יחד (topicId=vocab_numbers, section 6/7, UI title: בואו נבדוק יחד)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2, PASS14
exports/audio-text/books/english/english-g2/pages/page-097.txt|docs/learning-book/english/g2/drafts/vocab_family.md|## 6. בואו נבדוק יחד (topicId=vocab_family, section 6/7, UI title: בואו נבדוק יחד)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2, PASS14
exports/audio-text/books/english/english-g2/pages/page-103.txt|docs/learning-book/english/g2/drafts/vocab_animals.md|## 5. נסו בעצמכם (topicId=vocab_animals, section 5/7, UI title: נסו בעצמכם)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2
exports/audio-text/books/english/english-g2/pages/page-104.txt|docs/learning-book/english/g2/drafts/vocab_animals.md|## 6. בואו נבדוק יחד (topicId=vocab_animals, section 6/7, UI title: בואו נבדוק יחד)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2, PASS14
exports/audio-text/books/english/english-g2/pages/page-110.txt|docs/learning-book/english/g2/drafts/vocab_emotions.md|## 5. נסו בעצמכם (topicId=vocab_emotions, section 5/7, UI title: נסו בעצמכם)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2
exports/audio-text/books/english/english-g2/pages/page-111.txt|docs/learning-book/english/g2/drafts/vocab_emotions.md|## 6. בואו נבדוק יחד (topicId=vocab_emotions, section 6/7, UI title: בואו נבדוק יחד)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2, PASS14
exports/audio-text/books/english/english-g2/pages/page-117.txt|docs/learning-book/english/g2/drafts/vocab_actions.md|## 5. נסו בעצמכם (topicId=vocab_actions, section 5/7, UI title: נסו בעצמכם)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2
exports/audio-text/books/english/english-g2/pages/page-118.txt|docs/learning-book/english/g2/drafts/vocab_actions.md|## 6. בואו נבדוק יחד (topicId=vocab_actions, section 6/7, UI title: בואו נבדוק יחד)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2, PASS14
exports/audio-text/books/english/english-g2/pages/page-125.txt|docs/learning-book/english/g2/drafts/vocab_school.md|## 6. בואו נבדוק יחד (topicId=vocab_school, section 6/7, UI title: בואו נבדוק יחד)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2, PASS14
exports/audio-text/books/english/english-g2/pages/page-129.txt|docs/learning-book/english/g2/drafts/vocab_food.md|## 3. דוגמה (topicId=vocab_food, section 3/7, UI title: דוגמה)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2
exports/audio-text/books/english/english-g2/pages/page-132.txt|docs/learning-book/english/g2/drafts/vocab_food.md|## 6. בואו נבדוק יחד (topicId=vocab_food, section 6/7, UI title: בואו נבדוק יחד)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2, PASS14
exports/audio-text/books/english/english-g2/pages/page-136.txt|docs/learning-book/english/g2/drafts/vocab_house.md|## 3. דוגמה (topicId=vocab_house, section 3/7, UI title: דוגמה)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2
exports/audio-text/books/english/english-g2/pages/page-139.txt|docs/learning-book/english/g2/drafts/vocab_house.md|## 6. בואו נבדוק יחד (topicId=vocab_house, section 6/7, UI title: בואו נבדוק יחד)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2, PASS14
exports/audio-text/books/english/english-g2/pages/page-142.txt|docs/learning-book/english/g2/drafts/grammar_be.md|## 2. הסבר (topicId=grammar_be, section 2/7, UI title: הסבר)|yes|החלפת שורה/ביטוי מדויק — from קיים ב-body של section; passes: PASS13
exports/audio-text/books/english/english-g2/pages/page-146.txt|docs/learning-book/english/g2/drafts/grammar_be.md|## 6. בואו נבדוק יחד (topicId=grammar_be, section 6/7, UI title: בואו נבדוק יחד)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2, PASS14
exports/audio-text/books/english/english-g2/pages/page-150.txt|docs/learning-book/english/g2/drafts/grammar_plural_questions.md|## 3. דוגמה (topicId=grammar_plural_questions, section 3/7, UI title: דוגמה)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2
exports/audio-text/books/english/english-g2/pages/page-153.txt|docs/learning-book/english/g2/drafts/grammar_plural_questions.md|## 6. בואו נבדוק יחד (topicId=grammar_plural_questions, section 6/7, UI title: בואו נבדוק יחד)|yes|החלפת חץ → — קיים ב-body; passes: PASS11, PASS14
exports/audio-text/books/english/english-g2/pages/page-160.txt|docs/learning-book/english/g2/drafts/sentence_base.md|## 6. בואו נבדוק יחד (topicId=sentence_base, section 6/7, UI title: בואו נבדוק יחד)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2, PASS14
exports/audio-text/books/english/english-g2/pages/page-166.txt|docs/learning-book/english/g2/drafts/sentence_routine.md|## 5. נסו בעצמכם (topicId=sentence_routine, section 5/7, UI title: נסו בעצמכם)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2
exports/audio-text/books/english/english-g2/pages/page-167.txt|docs/learning-book/english/g2/drafts/sentence_routine.md|## 6. בואו נבדוק יחד (topicId=sentence_routine, section 6/7, UI title: בואו נבדוק יחד)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2, PASS14
exports/audio-text/books/english/english-g2/pages/page-174.txt|docs/learning-book/english/g2/drafts/translation_classroom.md|## 6. בואו נבדוק יחד (topicId=translation_classroom, section 6/7, UI title: בואו נבדוק יחד)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2, PASS14
exports/audio-text/books/english/english-g2/pages/page-177.txt|docs/learning-book/english/g2/drafts/translation_routines.md|## 2. הסבר (topicId=translation_routines, section 2/7, UI title: הסבר)|yes|החלפת חץ → — קיים ב-body; passes: PASS11
exports/audio-text/books/english/english-g2/pages/page-180.txt|docs/learning-book/english/g2/drafts/translation_routines.md|## 5. נסו בעצמכם (topicId=translation_routines, section 5/7, UI title: נסו בעצמכם)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2
exports/audio-text/books/english/english-g2/pages/page-181.txt|docs/learning-book/english/g2/drafts/translation_routines.md|## 6. בואו נבדוק יחד (topicId=translation_routines, section 6/7, UI title: בואו נבדוק יחד)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2, PASS14
exports/audio-text/books/english/english-g3/pages/page-006.txt|docs/learning-book/english/g3/drafts/vocab_actions.md|## 6. בואו נבדוק יחד (topicId=vocab_actions, section 6/7, UI title: בואו נבדוק יחד)|yes|החלפת שורה/ביטוי מדויק — from קיים ב-body של section; passes: PASS13
exports/audio-text/books/english/english-g3/pages/page-013.txt|docs/learning-book/english/g3/drafts/vocab_animals.md|## 6. בואו נבדוק יחד (topicId=vocab_animals, section 6/7, UI title: בואו נבדוק יחד)|partial|החלפת עמוד מלא ב-export — צריך לעדכן body של section במקור, לא להדביק txt; passes: PASS12
exports/audio-text/books/english/english-g3/pages/page-027.txt|docs/learning-book/english/g3/drafts/vocab_emotions.md|## 6. בואו נבדוק יחד (topicId=vocab_emotions, section 6/7, UI title: בואו נבדוק יחד)|yes|החלפת שורה/ביטוי מדויק — from קיים ב-body של section; passes: PASS13
exports/audio-text/books/english/english-g3/pages/page-048.txt|docs/learning-book/english/g3/drafts/vocab_house.md|## 6. בואו נבדוק יחד (topicId=vocab_house, section 6/7, UI title: בואו נבדוק יחד)|yes|החלפת שורה/ביטוי מדויק — from קיים ב-body של section; passes: PASS13
exports/audio-text/books/english/english-g3/pages/page-069.txt|docs/learning-book/english/g3/drafts/vocab_body.md|## 6. בואו נבדוק יחד (topicId=vocab_body, section 6/7, UI title: בואו נבדוק יחד)|partial|החלפת עמוד מלא ב-export — צריך לעדכן body של section במקור, לא להדביק txt; passes: PASS12
exports/audio-text/books/english/english-g3/pages/page-090.txt|docs/learning-book/english/g3/drafts/grammar_present_simple.md|## 6. בואו נבדוק יחד (topicId=grammar_present_simple, section 6/7, UI title: בואו נבדוק יחד)|yes|החלפת שורה/ביטוי מדויק — from קיים ב-body של section; passes: PASS13
exports/audio-text/books/english/english-g3/pages/page-097.txt|docs/learning-book/english/g3/drafts/grammar_articles_prepositions.md|## 6. בואו נבדוק יחד (topicId=grammar_articles_prepositions, section 6/7, UI title: בואו נבדוק יחד)|yes|החלפת שורה/ביטוי מדויק — from קיים ב-body של section; passes: PASS13
exports/audio-text/books/english/english-g3/pages/page-098.txt|docs/learning-book/english/g3/drafts/grammar_articles_prepositions.md|## 7. בואו נתרגל! (topicId=grammar_articles_prepositions, section 7/7, UI title: בואו נתרגל)|yes|החלפת שורה/ביטוי מדויק — from קיים ב-body של section; passes: PASS13
exports/audio-text/books/english/english-g3/pages/page-105.txt|docs/learning-book/english/g3/drafts/grammar_question_frames.md|## 7. בואו נתרגל! (topicId=grammar_question_frames, section 7/7, UI title: בואו נתרגל)|partial|החלפת עמוד מלא ב-export — צריך לעדכן body של section במקור, לא להדביק txt; passes: PASS12
exports/audio-text/books/english/english-g3/pages/page-121.txt|docs/learning-book/english/g3/drafts/translation_routines.md|## 2. הסבר (topicId=translation_routines, section 2/7, UI title: הסבר)|partial|החלפת עמוד מלא ב-export — צריך לעדכן body של section במקור, לא להדביק txt; passes: PASS12
exports/audio-text/books/english/english-g3/pages/page-122.txt|docs/learning-book/english/g3/drafts/translation_routines.md|## 3. דוגמה (topicId=translation_routines, section 3/7, UI title: דוגמה)|partial|החלפת עמוד מלא ב-export — צריך לעדכן body של section במקור, לא להדביק txt; passes: PASS12
exports/audio-text/books/english/english-g3/pages/page-123.txt|docs/learning-book/english/g3/drafts/translation_routines.md|## 4. בואו נפתור (topicId=translation_routines, section 4/7, UI title: בואו נפתור)|partial|החלפת עמוד מלא ב-export — צריך לעדכן body של section במקור, לא להדביק txt; passes: PASS12
exports/audio-text/books/english/english-g3/pages/page-125.txt|docs/learning-book/english/g3/drafts/translation_routines.md|## 6. בואו נבדוק יחד (topicId=translation_routines, section 6/7, UI title: בואו נבדוק יחד)|partial|החלפת עמוד מלא ב-export — צריך לעדכן body של section במקור, לא להדביק txt; passes: PASS12
